0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:47 +0800] "GET /vueTest/ HTTP/1.1" 200 8802
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:48 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:49 +0800] "POST /vueTest/print.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:07:37 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:07:38 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:45:18 +0800] "GET /vueTest/test.action HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:45:30 +0800] "GET /vueTest/ HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:45:30 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:45:44 +0800] "GET /vueTest/login4.html HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:46:02 +0800] "GET /vueTest/index4.html HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:46:03 +0800] "POST /vueTest/print.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:49:22 +0800] "GET /vueTest/index4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:50:56 +0800] "GET /vueTest/index4.html HTTP/1.1" 200 9918
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:50:56 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
