127.0.0.1 - - [22/Sep/2017:10:16:05 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:07 +0800] "GET /librarySystem/ HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/css/index.css HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/jQuery/jQuery-compressed.js HTTP/1.1" 200 147135
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/script/index.js HTTP/1.1" 200 11985
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/key.png HTTP/1.1" 200 4986
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/1.jpg HTTP/1.1" 200 4837
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/7.jpg HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/3.jpg HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/2.jpg HTTP/1.1" 200 4405
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/fork.png HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/6.jpg HTTP/1.1" 200 6660
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/10.jpg HTTP/1.1" 200 6932
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/Library.ico HTTP/1.1" 200 67646
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/search2.png HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/idIMG.png HTTP/1.1" 200 4610
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/4.jpg HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/9.jpg HTTP/1.1" 200 7636
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/8.jpg HTTP/1.1" 200 8061
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/books/literature/5.jpg HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:08 +0800] "GET /librarySystem/images/libraryIMG.jpg HTTP/1.1" 200 702103
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:14 +0800] "GET /librarySystem/mypage.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:22 +0800] "GET /librarySystem/myPage.jsp HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:23 +0800] "GET /librarySystem/css/myPage.css HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:23 +0800] "GET /librarySystem/script/myPage.js HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:50 +0800] "GET /librarySystem/adminPage.jsp HTTP/1.1" 200 8527
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:50 +0800] "GET /librarySystem/css/adminPage.css HTTP/1.1" 200 2225
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:50 +0800] "GET /librarySystem/script/adminPage.js HTTP/1.1" 200 10842
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:16:50 +0800] "GET /librarySystem/images/shutdown.ico HTTP/1.1" 200 2870
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:18:17 +0800] "GET /librarySystem/index.jsp HTTP/1.1" 200 9190
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:18:35 +0800] "GET /librarySystem/images/books/geography/3.jpg HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:18:35 +0800] "GET /librarySystem/images/books/geography/1.jpg HTTP/1.1" 200 9004
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:18:35 +0800] "GET /librarySystem/images/books/geography/8.jpg HTTP/1.1" 200 6899
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:18:35 +0800] "GET /librarySystem/images/books/geography/7.jpg HTTP/1.1" 200 7539
0:0:0:0:0:0:0:1 - - [22/Sep/2017:10:18:35 +0800] "GET /librarySystem/images/books/geography/4.jpg HTTP/1.1" 200 6477
